"market","team","event","dk_odds","dk_prob","sim_prob","edge","ev","payout","dk_prob_pct","sim_prob_pct","edge_pct","ev_pct"
"Winner","Panama","World Cup 2026","+100000",0.000999000999000999,0,-0.000999000999000999,-1,1000,0.1,0,-0.1,-100
"Winner","New Zealand","World Cup 2026","+100000",0.000999000999000999,0,-0.000999000999000999,-1,1000,0.1,0,-0.1,-100
"Winner","Iraq","World Cup 2026","+100000",0.000999000999000999,0,-0.000999000999000999,-1,1000,0.1,0,-0.1,-100
"Winner","Haiti","World Cup 2026","+150000",0.000666222518321119,0,-0.000666222518321119,-1,1500,0.1,0,-0.1,-100
"Winner","Uzbekistan","World Cup 2026","+150000",0.000666222518321119,0,-0.000666222518321119,-1,1500,0.1,0,-0.1,-100
"Winner","Curaçao","World Cup 2026","+150000",0.000666222518321119,0,-0.000666222518321119,-1,1500,0.1,0,-0.1,-100
"Winner","Jordan","World Cup 2026","+150000",0.000666222518321119,0,-0.000666222518321119,-1,1500,0.1,0,-0.1,-100
"To Reach The Semi Final","Spain","World Cup 2026","+100",0.5,0.597,0.097,0.194,1,50,59.7,9.7,19.4
"To Reach The Semi Final","France","World Cup 2026","+130",0.434782608695652,0.464,0.0292173913043478,0.0671999999999998,1.3,43.5,46.4,2.9,6.7
"To Reach The Semi Final","England","World Cup 2026","+140",0.416666666666667,0.296,-0.120666666666667,-0.2896,1.4,41.7,29.6,-12.1,-29
"To Reach The Semi Final","Brazil","World Cup 2026","+180",0.357142857142857,0.214,-0.143142857142857,-0.4008,1.8,35.7,21.4,-14.3,-40.1
"To Reach The Semi Final","Argentina","World Cup 2026","+190",0.344827586206897,0.484,0.139172413793103,0.4036,1.9,34.5,48.4,13.9,40.4
"To Reach The Semi Final","Portugal","World Cup 2026","+200",0.333333333333333,0.189,-0.144333333333333,-0.433,2,33.3,18.9,-14.4,-43.3
"To Reach The Semi Final","Germany","World Cup 2026","+260",0.277777777777778,0.131,-0.146777777777778,-0.5284,2.6,27.8,13.1,-14.7,-52.8
"To Reach The Semi Final","Netherlands","World Cup 2026","+450",0.181818181818182,0.197,0.0151818181818182,0.0834999999999999,4.5,18.2,19.7,1.5,8.3
"To Reach The Semi Final","Belgium","World Cup 2026","+500",0.166666666666667,0.07,-0.0966666666666667,-0.58,5,16.7,7,-9.7,-58
"To Reach The Semi Final","Norway","World Cup 2026","+550",0.153846153846154,0.115,-0.0388461538461538,-0.2525,5.5,15.4,11.5,-3.9,-25.2
"To Reach The Semi Final","Uruguay","World Cup 2026","+650",0.133333333333333,0.075,-0.0583333333333333,-0.4375,6.5,13.3,7.5,-5.8,-43.8
"To Reach The Semi Final","Colombia","World Cup 2026","+700",0.125,0.166,0.041,0.328,7,12.5,16.6,4.1,32.8
"To Reach The Semi Final","United States","World Cup 2026","+850",0.105263157894737,0.008,-0.0972631578947368,-0.924,8.5,10.5,0.8,-9.7,-92.4
"To Reach The Semi Final","Switzerland","World Cup 2026","+850",0.105263157894737,0.103,-0.00226315789473683,-0.0215,8.5,10.5,10.3,-0.2,-2.1
"To Reach The Semi Final","Turkey","World Cup 2026","+900",0.1,0.104,0.004,0.04,9,10,10.4,0.4,4
"To Reach The Semi Final","Morocco","World Cup 2026","+1000",0.0909090909090909,0.044,-0.0469090909090909,-0.516,10,9.1,4.4,-4.7,-51.6
"To Reach The Semi Final","Croatia","World Cup 2026","+1000",0.0909090909090909,0.119,0.0280909090909091,0.309,10,9.1,11.9,2.8,30.9
"To Reach The Semi Final","Japan","World Cup 2026","+1100",0.0833333333333333,0.109,0.0256666666666667,0.308,11,8.3,10.9,2.6,30.8
"To Reach The Semi Final","Mexico","World Cup 2026","+1200",0.0769230769230769,0.08,0.00307692307692307,0.0399999999999999,12,7.7,8,0.3,4
"To Reach The Semi Final","Sweden","World Cup 2026","+1400",0.0666666666666667,0.007,-0.0596666666666667,-0.895,14,6.7,0.7,-6,-89.5
"To Reach The Semi Final","Ecuador","World Cup 2026","+1400",0.0666666666666667,0.143,0.0763333333333334,1.145,14,6.7,14.3,7.6,114.5
